date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2017-01-23,63053,402497,201,0,176,0,7,0,4.993826040939435e-4,0,0.0027913025549934183,0,1.739143397342092e-5,0,1,589,77,346921,5929
2017-01-24,63362,407771,194,2,172,2,6,0,4.75757226482511e-4,4.904713675077433e-6,0.0027145607777532277,3.1564660206432876e-5,1.4714141025232299e-5,0,1,590,78,348100,6084
2017-01-25,65857,449514,155,2,148,2,0,0,3.4481684663881435e-4,4.449249634049218e-6,0.002247293378076742,3.0368829433469486e-5,0,0,1,591,79,349281,6241
2017-01-26,65327,436641,141,0,118,0,8,0,3.229197441376325e-4,0,0.0018062975492522235,0,1.8321687610645817e-5,0,1,592,80,350464,6400
2017-01-27,63561,420831,109,0,97,0,3,0,2.590113370925621e-4,0,0.001526093044476959,0,7.128752397042993e-6,0,1,593,81,351649,6561
2017-01-28,59316,423156,149,0,132,0,1,0,3.5211600449952264e-4,0,0.002225369208982399,0,2.363194661070622e-6,0,1,594,82,352836,6724
2017-01-29,60117,450608,184,1,165,1,3,0,4.0833717998792744e-4,2.2192238042822142e-6,0.0027446479365237785,1.6634229918325932e-5,6.657671412846643e-6,0,1,595,83,354025,6889
2017-01-30,64410,470532,178,1,161,1,5,0,3.782952062771501e-4,2.125253967849158e-6,0.0024996118615121877,1.552553951249806e-5,1.062626983924579e-5,0,1,596,84,355216,7056
2017-01-31,64709,442653,157,1,146,1,6,0,3.5467962489805783e-4,2.259105891070432e-6,0.002256254925899025,1.545380086232209e-5,1.3554635346422592e-5,0,1,597,85,356409,7225
2017-02-01,64892,441476,135,1,125,1,8,0,3.05792387355145e-4,2.2651287952232966e-6,0.0019262775072428034,1.541022005794243e-5,1.8121030361786373e-5,0,1,598,86,357604,7396
2017-02-02,64462,432168,175,0,144,0,6,0,4.049351178245497e-4,0,0.002233874220470975,0,1.3883489753984562e-5,0,1,599,87,358801,7569
2017-02-03,63263,410439,183,2,157,2,3,0,4.458640626256277e-4,4.8728312855259855e-6,0.0024817033653162196,3.161405560912382e-5,7.309246928288978e-6,0,1,600,88,360000,7744
2017-02-04,58265,373447,115,0,102,0,5,0,3.079419569577477e-4,0,0.0017506221573843645,0,1.3388780737293378e-5,0,1,601,89,361201,7921
2017-02-05,58738,396655,177,1,149,1,1,0,4.4623161185413014e-4,2.521082552848193e-6,0.0025366883448534167,1.702475399230481e-5,2.521082552848193e-6,0,1,602,90,362404,8100
2017-02-06,68830,523735,708,1,616,1,3,0,0.0013518286919911788,1.9093625593095746e-6,0.008949585936364957,1.452854859799506e-5,5.728087677928724e-6,0,1,603,91,363609,8281
2017-02-07,64049,437038,139,1,123,1,4,0,3.1805014666916835e-4,2.288130551576751e-6,0.0019204046901590969,1.5613046261456072e-5,9.152522206307003e-6,0,1,604,92,364816,8464
2017-02-08,64381,439474,134,1,115,1,0,0,3.049099605437409e-4,2.275447466744335e-6,0.0017862412823659154,1.5532532890138395e-5,0,0,1,605,93,366025,8649
