country,year,PIRI,mu_D0,mu_D1,std,AIShame
MEXICO,1983,5.0,5.000000000000001,5.3504799854788025,0.1568727357819777,0.0
MEXICO,1984,7.0,7.0000000000000036,7.350479985478805,0.156872735781977,0.0
MEXICO,1985,7.0,6.999999999999998,7.3504799854788,0.1568727357819784,0.0
MEXICO,1986,5.0,4.649520014521203,5.000000000000004,0.1575228414501502,1.0
MEXICO,1987,7.0,6.999999999999996,7.350479985478797,0.15687273578197486,0.0
MEXICO,1988,5.0,4.999999999999997,5.350479985478799,0.15687273578197558,0.0
MEXICO,1989,7.0,6.9999999999999964,7.350479985478798,0.156872735781977,0.0
MEXICO,1990,8.0,7.999999999999998,8.350479985478799,0.15687273578197486,0.0
MEXICO,1991,7.0,6.649520014521194,6.999999999999996,0.15752284145015302,1.0
MEXICO,1992,5.0,4.999999999999998,5.3504799854788,0.1568727357819784,0.0
MEXICO,1993,5.0,5.0000000000000036,5.350479985478805,0.1568727357819784,0.0
MEXICO,1994,7.0,6.649520014521198,7.0,0.1575228414501502,1.0
MEXICO,1995,6.0,5.649520014521199,6.000000000000001,0.15752284145015233,1.0
MEXICO,1996,7.0,6.649520014521197,6.999999999999998,0.1575228414501502,1.0
MEXICO,1997,6.0,5.649520014521201,6.000000000000003,0.1575228414501488,1.0
MEXICO,1998,5.0,4.649520014521203,5.000000000000004,0.1575228414501502,1.0
MEXICO,1999,5.0,4.649520014521195,4.9999999999999964,0.15752284145015233,1.0
MEXICO,2000,6.0,5.649520014521199,6.000000000000001,0.15752284145015233,1.0
MONGOLIA,1992,0.0,-4.6629367034256575e-15,0.35047998547879716,0.1568727357819784,0.0
MONGOLIA,1993,1.0,0.9999999999999976,1.3504799854787994,0.1568727357819791,0.0
MONGOLIA,1994,1.0,0.9999999999999951,1.350479985478797,0.15687273578197486,0.0
MONGOLIA,1995,2.0,1.6495200145212034,2.0000000000000053,0.15752284145014528,1.0
MONGOLIA,1996,1.0,0.9999999999999951,1.350479985478797,0.15687273578198052,0.0
MONGOLIA,1997,1.0,0.9999999999999984,1.3504799854788003,0.15687273578197558,0.0
MONGOLIA,1998,2.0,1.999999999999999,2.3504799854788008,0.156872735781977,0.0
MONGOLIA,1999,1.0,0.9999999999999996,1.3504799854788014,0.15687273578198124,0.0
MONGOLIA,2000,2.0,1.9999999999999976,2.3504799854787994,0.15687273578198052,0.0
MOROCCO,1983,4.0,3.9999999999999982,4.3504799854788,0.1568727357819777,0.0
MOROCCO,1984,4.0,3.9999999999999947,4.350479985478796,0.156872735781977,0.0
MOROCCO,1985,4.0,4.0,4.350479985478802,0.15687273578198052,0.0
MOROCCO,1986,6.0,6.0,6.350479985478802,0.15687273578197275,0.0
MOROCCO,1987,3.0,2.9999999999999982,3.3504799854788,0.1568727357819777,0.0
MOROCCO,1988,3.0,3.0000000000000107,3.3504799854788123,0.1568727357819791,0.0
MOROCCO,1989,4.0,3.9999999999999973,4.350479985478799,0.1568727357819784,0.0
MOROCCO,1990,7.0,6.649520014521207,7.000000000000009,0.1575228414501516,1.0
MOROCCO,1991,4.0,3.6495200145211975,3.9999999999999996,0.1575228414501509,1.0
MOROCCO,1992,4.0,3.9999999999999964,4.350479985478798,0.15687273578197417,0.0
MOROCCO,1993,5.0,4.999999999999997,5.350479985478799,0.1568727357819791,0.0
MOROCCO,1994,4.0,3.649520014521202,4.0000000000000036,0.1575228414501509,1.0
MOROCCO,1995,4.0,3.6495200145211975,3.999999999999999,0.15752284145015302,1.0
MOROCCO,1996,5.0,4.649520014521192,4.999999999999994,0.15752284145015302,1.0
MOROCCO,1997,5.0,4.999999999999996,5.350479985478797,0.1568727357819791,0.0
MOROCCO,1998,2.0,1.649520014521191,1.999999999999993,0.1575228414501474,1.0
MOROCCO,1999,4.0,3.6495200145211966,3.9999999999999987,0.15752284145014245,1.0
MOROCCO,2000,4.0,3.6495200145211975,3.999999999999999,0.15752284145014808,1.0
MOZAMBIQ,1983,5.0,4.999999999999998,5.3504799854788,0.15687273578198194,0.0
MOZAMBIQ,1984,6.0,5.999999999999995,6.350479985478796,0.15687273578198124,0.0
MOZAMBIQ,1985,7.0,6.9999999999999964,7.350479985478798,0.156872735781977,0.0
MOZAMBIQ,1986,6.0,5.999999999999998,6.3504799854788,0.15687273578198194,0.0
MOZAMBIQ,1987,6.0,5.9999999999999964,6.350479985478798,0.15687273578198052,0.0
MOZAMBIQ,1988,5.0,5.0000000000000036,5.350479985478805,0.1568727357819784,0.0
MOZAMBIQ,1989,6.0,6.0,6.350479985478802,0.15687273578198124,0.0
MOZAMBIQ,1990,4.0,4.0,4.350479985478802,0.1568727357819784,0.0
MOZAMBIQ,1991,5.0,5.0,5.350479985478802,0.15687273578197627,0.0
MOZAMBIQ,1992,6.0,6.000000000000002,6.350479985478803,0.15687273578197486,0.0
MOZAMBIQ,1993,2.0,1.9999999999999887,2.3504799854787906,0.1568727357819777,0.0
MOZAMBIQ,1994,5.0,4.649520014521201,5.000000000000003,0.1575228414501509,1.0
MOZAMBIQ,1995,3.0,2.9999999999999902,3.350479985478792,0.15687273578197983,0.0
MOZAMBIQ,1996,4.0,3.9999999999999956,4.350479985478797,0.15687273578197627,0.0
MOZAMBIQ,1997,5.0,4.999999999999995,5.350479985478796,0.15687273578198052,0.0
MOZAMBIQ,1998,4.0,3.9999999999999982,4.3504799854788,0.1568727357819784,0.0
MOZAMBIQ,1999,5.0,5.0,5.350479985478802,0.15687273578197558,0.0
MOZAMBIQ,2000,6.0,5.649520014521192,5.999999999999994,0.1575228414501502,1.0
NAMIBIA,1991,1.0,1.0000000000000038,1.3504799854788057,0.15687273578197203,0.0
NAMIBIA,1992,2.0,2.000000000000001,2.3504799854788025,0.1568727357819777,0.0
NAMIBIA,1993,1.0,1.0000000000000002,1.350479985478802,0.15687273578197558,0.0
NAMIBIA,1994,1.0,0.9999999999999984,1.3504799854788003,0.1568727357819784,0.0
NAMIBIA,1995,3.0,2.9999999999999885,3.35047998547879,0.15687273578197558,0.0
NAMIBIA,1996,1.0,0.9999999999999976,1.3504799854787994,0.15687273578197344,0.0
NAMIBIA,1997,2.0,1.9999999999999891,2.350479985478791,0.15687273578197486,0.0
NAMIBIA,1998,2.0,1.6495200145211995,2.0000000000000013,0.1575228414501509,1.0
NAMIBIA,1999,5.0,5.000000000000002,5.350479985478803,0.156872735781977,0.0
NAMIBIA,2000,3.0,2.649520014521194,2.999999999999996,0.1575228414501495,1.0
NEPAL,1983,2.0,2.0000000000000018,2.3504799854788034,0.15687273578198194,0.0
NEPAL,1984,2.0,2.000000000000001,2.350479985478803,0.15687273578198335,0.0
NEPAL,1985,2.0,1.9999999999999958,2.3504799854787977,0.15687273578197983,0.0
NEPAL,1986,1.0,0.9999999999999891,1.350479985478791,0.15687273578198477,0.0
NEPAL,1987,3.0,2.6495200145212054,3.0000000000000075,0.15752284145015796,1.0
NEPAL,1988,3.0,2.9999999999999973,3.3504799854787994,0.15687273578198266,0.0
NEPAL,1989,4.0,3.9999999999999973,4.350479985478799,0.1568727357819791,0.0
NEPAL,1990,5.0,4.649520014521195,4.9999999999999964,0.15752284145015444,1.0
NEPAL,1991,5.0,5.000000000000002,5.350479985478803,0.1568727357819784,0.0
