,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
1808,1,1,1,1,1,1,CYPRUS,2000,352,1,0,0,0,1,10,0,0,11660.20996,757000,0,0,0,0,0,0,0,NA,1,1,1999,1,1,1,1,1,1,1,0.01,-4.622010935,0,9.363937467,13.53711853
1831,1,1,2,3,3,2,BULGARIA,1996,355,4,0,1,1,2,8,0,0,1427.14502,8356000,4,12,16,0,0,0,0,1119,0,1,1995,3,4,3,2,2,2,1,16,2.755747973,1,7.263431238,15.9384904
1832,1,1,2,3,3,2,BULGARIA,1997,355,3,0,1,0,2,8,0,0,1354.344971,8312070,1,9,10,0,0,0,0,1174,0,1,1996,4,3,4,2,2,2,1,10,2.285744344,1,7.2110732,15.93321923
1833,1,1,2,3,2,2,BULGARIA,1998,355,4,0,1,1,2,8,0,0,1416.035034,8257000,2,10,12,0,0,0,0,1222,0,1,1997,3,4,3,2,2,2,1,12,2.468065901,1,7.255616016,15.92657188
1834,1,1,2,3,3,3,BULGARIA,1999,355,3,0,1,0,2,8,0,0,1457.251953,8208000,0,8,8,0,0,0,0,1258,0,1,1998,4,3,4,2,2,2,1,8,2.062600793,0,7.284307717,15.92061985
1835,1,1,2,3,3,2,BULGARIA,2000,355,4,0,1,1,2,8,0,0,1564.146973,8060000,1,4,5,0,0,0,0,NA,0,1,1999,3,4,3,2,2,1,1,5,1.592597163,1,7.355095889,15.90242411
1885,1,1,2,3,2,2,ROMANIA,1996,360,1,0,0,0,1,8,0,0,1844.43103,22600000,0,8,8,0,0,0,0,1147,0,1,1995,2,2,2,4,4,2,1,8,2.062600793,0,7.519926124,16.93346046
1886,1,1,2,2,3,2,ROMANIA,1997,360,2,0,0,0,2,8,0,0,1736.015991,22600000,0,15,15,1,0,1,0.5,1225,0,2,1996,1,2,1,2,4,2,1,15,2.691209452,0,7.459348107,16.93346046
1887,1,1,2,2,3,2,ROMANIA,1998,360,1,0,0,0,1,8,0,0,1656.623047,22500000,3,11,14,0,0,0,0,1299,0,1,1997,2,1,2,2,2,2,1,14,2.622216581,1,7.4125365,16.92902587
1888,1,1,2,2,3,3,ROMANIA,1999,360,2,0,1,0,1,8,0,0,1640.024048,22500000,0,6,6,0,0,0,0,1345,0,1,1998,1,2,3,2,2,2,1,6,1.77491872,0,7.402466184,16.92902587
1889,1,1,2,2,3,2,ROMANIA,2000,360,3,0,1,0,2,8,0,0,1650.965942,22400000,2,6,8,0,0,0,0,NA,0,1,1999,2,1,2,2,2,2,1,8,2.062600793,1,7.409115815,16.92457152
