gpr_mean,true_y,gpr_lwr,gpr_upr,month,unit
36.27511512459829,45.7142857142857,34.70570951865768,37.844520730538896,64,335
34.28922763051049,62.0689655172414,32.74844616941055,35.83000909161043,65,335
35.767259973731655,44.4444444444444,34.25654821898578,37.27797172847753,66,335
36.885773710321146,34.1463414634146,35.40508032016136,38.36646710048093,67,335
35.201542072687545,47.4576271186441,33.74991987983957,36.65316426553552,68,335
34.99551502627146,52.0,33.57307803120784,36.41795202133508,69,335
35.81097699930316,68.2539682539683,34.4180894236829,37.203864574923415,70,335
35.36785294085742,58.0,34.002641757472915,36.73306412424192,71,335
40.66278332565774,46.8390804597701,39.325657786856006,41.99990886445948,72,335
38.276876452622105,44.1176470588235,36.96637281262283,39.58738009262138,73,335
38.799489948308306,42.8571428571429,37.513147033050394,40.08583286356622,74,335
37.79746279173481,32.1100917431193,36.532817491777045,39.06210809169257,75,335
36.765347734152655,47.2972972972973,35.5194147160623,38.01128075224301,76,335
35.630991179001995,55.1020408163265,34.40032640146078,36.86165595654321,77,335
35.56257792438004,67.3469387755102,34.34556078048623,36.77959506827384,78,335
34.91798250612354,57.5,33.71034244799948,36.12562256424761,79,335
34.42486453302466,62.8571428571429,33.22335488451835,35.62637418153097,80,335
33.56478833884205,62.962962962963,32.36489209840606,34.76468457927804,81,335
34.893204758116966,18.75,33.69635473536902,36.09005478086491,82,335
33.31496473205768,62.0689655172414,32.11108472604067,34.51884473807469,83,335
34.80474652547758,41.0714285714286,33.597038224288056,36.01245482666711,84,335
33.09711247861097,45.4545454545455,31.875381592653675,34.31884336456826,85,335
35.07463112405968,21.7948717948718,33.842942549515065,36.30631969860429,86,335
32.65626044619779,38.8888888888889,31.403432270038827,33.909088622356755,87,335
35.320942504873926,41.9642857142857,34.05297992017175,36.5889050895761,88,335
9.874903918819541,15.5555555555556,9.038824095285415,10.710983742353667,0,336
12.214469457920337,20.4444444444444,11.401014276062885,13.02792463977779,1,336
14.12860167779988,8.64978902953587,13.326487390028037,14.930715965571723,2,336
13.836110560735047,13.0023640661939,13.03749464226545,14.634726479204645,3,336
13.894165365809283,14.5833333333333,13.092262773635056,14.696067957983509,4,336
13.329786080550203,15.8959537572254,12.517842638458902,14.141729522641505,5,336
13.608178976252809,13.0208333333333,12.78013588358365,14.436222068921968,6,336
13.972090093464352,11.1363636363636,13.12208860863699,14.822091578291715,7,336
13.923507285824225,15.8508158508159,13.046382976820087,14.800631594828364,8,336
12.044679708945406,11.7073170731707,11.134532087244823,12.954827330645989,9,336
13.442348029755815,10.8571428571429,12.498288443871651,14.386407615639978,10,336
