gpr_mean,true_y,gpr_lwr,gpr_upr,day
1.033293218597812e-06,0.0,5.506601594566192e-07,1.5159262777390046e-06,465
1.0353435090442475e-06,0.0,5.526598634424716e-07,1.5180271546460233e-06,466
1.037271802890741e-06,0.0,5.54490096538562e-07,1.5200535092429202e-06,467
1.0390716670693252e-06,2.2894663940675345e-06,5.561260851885855e-07,1.5220172489500646e-06,468
1.0407367425717376e-06,0.0,5.57541189218368e-07,1.5239322959251072e-06,469
1.042260752825721e-06,0.0,5.587068551338833e-07,1.5258146505175588e-06,470
1.0436375119632089e-06,0.0,5.595925853783412e-07,1.5276824385480763e-06,471
1.0448609329716712e-06,0.0,5.601659272062336e-07,1.5295559387371088e-06,472
1.045925035713581e-06,0.0,5.60392485058887e-07,1.531457586368275e-06,473
1.0468239548067181e-06,0.0,5.602359604459004e-07,1.533411949167536e-06,474
1.0475519473519354e-06,0.0,5.596582232767333e-07,1.5354456714271375e-06,475
1.04810340049935e-06,2.69917917961148e-06,5.586194183271913e-07,1.5375873826715085e-06,476
1.0484728388430779e-06,2.8988532136686727e-06,5.570781099967155e-07,1.5398675676894402e-06,477
1.0486549316336636e-06,0.0,5.549914676932556e-07,1.5423183955740712e-06,478
1.0486444997989272e-06,0.0,5.523154930454598e-07,1.5449735065523945e-06,479
1.0484365227653475e-06,0.0,5.490052886920129e-07,1.547867756838682e-06,480
1.048026145069373e-06,0.0,5.450153666603559e-07,1.5510369234783905e-06,481
1.0474086827512997e-06,2.811674070741719e-06,5.402999924082909e-07,1.5545173730943086e-06,482
1.0465796295235904e-06,0.0,5.348135585518001e-07,1.5583457004953808e-06,483
1.045534662705297e-06,2.7780478657647266e-06,5.285109803006897e-07,1.562558345109904e-06,484
1.0442696489159256e-06,0.0,5.213481028273518e-07,1.5671911950044992e-06,485
1.0427806495215375e-06,0.0,5.132821093936979e-07,1.5722791896493771e-06,486
1.041063925826475e-06,0.0,5.042719182094787e-07,1.5778559334434714e-06,487
1.0391159440044822e-06,2.8820104905181854e-06,4.942785558285961e-07,1.5839533321803684e-06,488
1.0369333797642169e-06,0.0,4.832654954816972e-07,1.5906012640467365e-06,489
1.0345131227429182e-06,2.7051519619114605e-06,4.71198950077895e-07,1.5978272954079414e-06,490
1.0318522806239979e-06,6.926071116898228e-06,4.580481116201561e-07,1.6056564496278397e-06,491
1.0289481829736662e-06,3.0941072726991447e-06,4.43785331297522e-07,1.6141110346498104e-06,492
1.025798384793697e-06,0.0,4.283862373468122e-07,1.6232105322405818e-06,493
1.022400669785055e-06,2.9440165807013824e-06,4.1182979066775036e-07,1.6329715489023597e-06,494
1.0187530533204465e-06,0.0,3.940982809074266e-07,1.6434078257334667e-06,495
1.01485378512329e-06,0.0,3.7517726809089197e-07,1.6545303021556885e-06,496
1.0107013516502086e-06,5.301074527806786e-06,3.550554767207724e-07,1.6663472265796448e-06,497
1.0062944781752857e-06,0.0,3.3372465051514895e-07,1.6788643058354224e-06,498
1.0016321305751192e-06,0.0,3.1117937658694584e-07,1.6920848845632927e-06,499
9.96713516814201e-07,0.0,2.874168879241869e-07,1.7060101457042148e-06,500
9.915380881284742e-07,0.0,2.624368526056799e-07,1.7206393236512685e-06,501
9.861055399090432e-07,5.134142303022213e-06,2.3624115738509352e-07,1.7359699224329928e-06,502
9.804158122853552e-07,0.0,2.0883369222749206e-07,1.7519979323432184e-06,503
9.7446909040848e-07,0.0,1.802201411964416e-07,1.7687180396205181e-06,504
9.68265804436571e-07,0.0,1.5040778387924642e-07,1.7861238249938957e-06,505
9.618066292234236e-07,0.0,1.1940531037263863e-07,1.8042079480742088e-06,506
9.550924837125969e-07,0.0,8.722265179434572e-08,1.8229623156308478e-06,507
9.481245300396293e-07,0.0,5.3870827374720845e-08,1.842378232704538e-06,508
9.409041723446055e-07,0.0,1.93618084249636e-08,1.8624465362642474e-06,509
9.334330552993151e-07,0.0,-1.629160111262809e-08,1.883157711711258e-06,510
1.953982409233138e-06,1.2857899636378598e-06,8.707767161713152e-07,3.0371881022949603e-06,511
1.933126771769297e-06,0.0,8.919006175908831e-07,2.974352925947711e-06,512
1.9127428427099526e-06,4.916783440273373e-06,9.117108768960629e-07,2.9137748085238416e-06,513
1.8928506052224306e-06,2.8108521379341363e-06,9.301938602988049e-07,2.855507350146056e-06,514
1.8734689943766875e-06,2.6054490361141293e-06,9.473376395412159e-07,2.799600349212159e-06,515
1.8546158590776545e-06,2.483959829401639e-06,9.631326379188373e-07,2.746099080236472e-06,516
1.8363079262685497e-06,2.4656595269385632e-06,9.775723878120965e-07,2.695043464725003e-06,517
1.8185607675081172e-06,2.4313389870069245e-06,9.906543933528114e-07,2.6464671416634234e-06,518
1.8013887680276208e-06,0.0,1.0023810819021966e-06,2.600396454153045e-06,519
1.7848050983548586e-06,2.577233237030718e-06,1.0127608159301878e-06,2.5568493807795293e-06,520
1.7688216886026203e-06,0.0,1.0218089234648618e-06,2.515834453740379e-06,521
1.7534492054994209e-06,0.0,1.0295486918295938e-06,2.477349719169248e-06,522
1.7386970322393567e-06,7.1867476373567144e-06,1.0360122578564346e-06,2.4413818066222786e-06,523
1.7245732512268274e-06,4.926569481872688e-06,1.041241320483958e-06,2.407905181969697e-06,524
1.7110846297697472e-06,0.0,1.045287600903259e-06,2.376881658636235e-06,525
1.6982366087869776e-06,4.983628779459476e-06,1.04821298311756e-06,2.3482602344563953e-06,526
1.6860332945729078e-06,2.729458775619382e-06,1.0500892845426675e-06,2.3219773046031482e-06,527
1.6744774536600613e-06,0.0,1.0509976313041174e-06,2.297957276016005e-06,528
1.6635705108162702e-06,0.0,1.0510274435925827e-06,2.2761135780399575e-06,529
1.6533125501990774e-06,2.395978589535324e-06,1.0502750688255826e-06,2.2563500315725725e-06,530
1.6437023196847282e-06,2.274458963074159e-06,1.0488421298655633e-06,2.238562509503893e-06,531
1.6347372383802288e-06,0.0,1.0468336778381645e-06,2.222640798922293e-06,532
1.6264134073201624e-06,0.0,1.0443562512662594e-06,2.2084705633740656e-06,533
1.618725623339493e-06,0.0,1.0415159441511386e-06,2.1959353025278476e-06,534
1.6116673961045803e-06,3.353229159680773e-06,1.0384165762316077e-06,2.184918215977553e-06,535
1.6052309682787494e-06,0.0,1.0351580413933623e-06,2.1753038951641363e-06,536
1.5994073387900503e-06,3.049589372790954e-06,1.0318348884018453e-06,2.1669797891782556e-06,537
1.5941862891543796e-06,0.0,1.028535165199032e-06,2.159837413109727e-06,538
1.589556412807733e-06,0.0,1.0253395367659984e-06,2.1537732888494674e-06,539
1.5855051473876802e-06,0.0,1.0223206689487467e-06,2.1486896258266138e-06,540
